zip,latitude,longitude,INCNUM
46214,39.7722229,-86.2991885,42320
46234,39.7767007,-86.29716909999999,42327
46205,39.813391,-86.123311,42395
46225,39.7539219,-86.1417603,42375
46229,39.8011031,-85.965557,42432
46224,39.7752335,-86.2679199,42524
Postcode Not Found,NA,NA,42325
46224,39.766473,-86.262778,41521
46254,39.8467651,-86.2807141,41543
46201,39.7740744,-86.1497495,42773
46259,39.640618,-85.97681399999999,42791
Postcode Not Found,NA,NA,42871
46217,39.6597604,-86.18461239999999,42061
46222,39.782588,-86.20640159999999,32360
46250,39.9122158,-86.0583151,42147
46221,39.7550033,-86.2026065,42184
46201,39.77621,-86.099549,42329
46227,39.7152853,-86.1464077,42337
46205-1550,39.844007,-86.10682299999999,42408
46203,39.7300444,-86.1121153,42419
Postcode Not Found,NA,NA,42443
46219,39.7855149,-86.065907,42487
46235,39.8303748,-86.0039005,32578
46221,39.714458,-86.2349837,32631
46205,39.8253818,-86.13165900000001,32752
46254,39.8300927,-86.287139,32697
46201,39.766952,-86.095331,32786
Postcode Not Found,NA,NA,38691
Postcode Not Found,NA,NA,42898
46256,39.89074069999999,-86.03309229999999,32569
46218,39.8153396,-86.1251667,32754
46226,39.8332698,-86.0234851,32981
46219,39.796203,-86.024834,32992
46222,39.7901972,-86.20175259999999,35261
46208,39.806408,-86.1639094,33221
46225,39.762954,-86.15771099999999,33234
46225,39.7614865,-86.1601417,32449
46254,39.8307229,-86.2623127,32524
46225,39.7640344,-86.1587622,32531
Postcode Not Found,NA,NA,42597
46224,39.7685723,-86.25096909999999,42677
46224,39.8185678,-86.26350269999999,42854
46220,39.869393,-86.14459099999999,32778
46203,39.745286,-86.1310043,32722
46226,39.819648,-86.01386049999999,32906
46218,39.8192374,-86.0909253,32928
46268,39.9080446,-86.2038074,32913
46254,39.8239249,-86.26974,32976
46254,39.8381121,-86.24415350000001,33174
46225,39.7631191,-86.1577606,33196
46201,39.7600693,-86.11506800000001,33487
46204,39.7365275,-86.1137555,33506
46201,39.77936200000001,-86.1098941,33509
46220,39.8709142,-86.14280149999999,32903
46201,39.7722567,-86.0952422,32804
46226,39.8589857,-86.0438741,32805
46206,39.7587894,-86.1844138,33072
46229,39.7760205,-85.981853,33137
46222,39.8080334,-86.1949419,33292
46260,39.9033156,-86.1891717,42368
Postcode Not Found,NA,NA,42890
46254-2406,39.821972,-86.218538,42876
Postcode Not Found,NA,NA,42877
Postcode Not Found,NA,NA,43000
46214,39.7762566,-86.294012,43076
46219,39.7649516,-86.0180792,42742
Postcode Not Found,NA,NA,42829
Postcode Not Found,NA,NA,43007
Postcode Not Found,NA,NA,42949
46229,39.8014451,-85.9937209,43038
Postcode Not Found,NA,NA,43073
46222,39.7506007,-86.20650010000001,33392
46241,39.7405589,-86.2534982,33417
46222,39.7749222,-86.20396819999999,33535
46241,39.7420013,-86.2479408,33536
46225,39.7631191,-86.1577606,33747
Postcode Not Found,NA,NA,42974
46205,39.7884088,-86.1534126,38698
46227,39.7146269,-86.1213049,33855
46260,39.892544,-86.199444,33812
46254,39.8245422,-86.1619415,33890
46204,39.6935031,-86.1909903,33893
46226,39.8239467,-86.0355314,33504
46204,39.7709275,-86.1539324,33396
46226,39.8213929,-86.0448342,33408
46250,39.890656,-86.0634199,33703
46201,39.7797415,-86.1084429,33752
46218,39.787222,-86.0966962,33772
46219,39.7812408,-86.0962385,33940
46218,39.8024547,-86.1249912,32946
46202,39.7626875,-86.1519235,33142
46219,39.79775470000001,-86.0631354,33983
46204,39.7646637,-86.1571324,34118
46218,39.8178311,-86.1074038,34208
46218,39.819533,-86.11130899999999,39505
46218,39.8077219,-86.0995615,34256
46208,39.7898753,-86.15697469999999,34303
46218,39.7771543,-86.11639199999999,34412
46241,39.7574537,-86.2439346,34446
46201,39.783417,-86.0988359,36941
46225,39.7625906,-86.1600739,33967
46229,39.8047358,-86.0003965,34184
46225,39.762954,-86.15771099999999,34278
46201,39.7795901,-86.1106085,41702
46260,39.8879013,-86.1819008,34428
46219,39.7719523,-86.03779410000001,34658
46204,39.7685876,-86.1481878,34704
46221,39.6586055,-86.2759888,34751
46260,39.922961,-86.19053199999999,34754
46222,39.8124804,-86.21660399999999,34856
46220,39.8698749,-86.14405289999999,34958
46241,39.7599466,-86.221418,39013
46205,39.829257,-86.11939,41590
46241,39.7506599,-86.1882802,35158
46202,39.7910319,-86.18061949999999,35234
46206,39.763551,-86.157924,34528
46208,39.8108471,-86.1785931,34566
46220,39.8693532,-86.1427992,34732
46218,39.7932565,-86.1270127,34904
46204,39.768403,-86.158068,35059
46250,39.8932376,-86.0502332,35094
46250,39.9092285,-86.06538619999999,35295
46221,39.7451285,-86.19688719999999,35277
46214,39.8199021,-86.2883384,35313
46205,39.7825784,-86.1557552,34183
46254,39.8236113,-86.2687054,34300
46260,39.8879013,-86.1819008,34318
46208,39.8028313,-86.1705022,34357
46229,39.8093146,-85.9615185,34475
46203,39.7446152,-86.08181239999999,34498
46224,39.7688503,-86.2590895,35292
