lon,lat,OBJECTID,INCNUM,OCCURRED_DT,OCCURRED_TM,UDTEXT24A,UDTEXT24B,UDTEXT24C,UDTEXT24D,DISPOSITION,FULL_ADD,UOF_FORCE_TYPE,UOF_REASON,SERVICE_TYPE,CIT_ARRESTED,CITCHARGE_TYPE,CIT_WEAPON_TYPE,CIT_INJURED,CIT_HOSPITAL,OFF_INJURED,OFF_HOSPITAL,CITNUM,RACE,SEX,CIT_AGE,CIT_COND_TYPE,OFFNUM,OFF_RACE,OFF_SEX,OFF_AGE,OFF_YR_EMPLOY,OFF_COND_TYPE
-86.2796244,39.7444034,1774,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Body weight leverage,Resisting Arrest,Arrest,Yes,Shoplifting - Theft,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.2796244,39.7444034,1775,6035,2014-12-13,13:10:00:000,Administration division,Training bureau,RECRUIT TRAINING SECTION,9TH RECRUIT CLASS,In compliance,"6840 W Washington Street, Indianapolis, IN",Handcuffing,Resisting Arrest,Arrest,Yes,Shoplifting - Theft,Unreported,No,No,Yes,No,2263,Black,Male,36,Unreported,2314,White,Male,43,13,Unreported
-86.1587622,39.7640344,1776,6039,2014-12-14,03:21:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"200 S Meridian Street, Indianapolis, IN",Personal cs/oc spray,Non-Compliant,Call For Service,No,NA,Unreported,No,No,No,No,18,Black,Female,121,No injuries noted or visible,2087,Black,Male,41,10,Unreported
-86.1587622,39.7640344,1777,6039,2014-12-14,03:21:00:000,Operations division,Downtown  district,DT LATE TACT FOOT AND BICYCLE,UNREPORTED,In compliance,"200 S Meridian Street, Indianapolis, IN",Personal cs/oc spray,Non-Compliant,Call For Service,No,NA,Unreported,No,No,No,No,18,Black,Female,121,No injuries noted or visible,1452,Black,Male,36,13,Unreported
-86.16178699999999,39.7018338,1778,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Battery (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1779,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Battery (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1783,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Operating a Vehicle While Intoxicated (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1780,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Battery (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1781,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Battery (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1782,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Operating a Vehicle While Intoxicated (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1784,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Operating a Vehicle While Intoxicated (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1785,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Operating a Vehicle While Intoxicated (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1786,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Criminal Mischief (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1787,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Criminal Mischief (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1788,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Criminal Mischief (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1789,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Criminal Mischief (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Abraisons,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1790,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN","Hands, fist, feet",Assaulting Officer(s),Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.16178699999999,39.7018338,1791,6049,2014-12-08,21:23:00:000,Homeland security division,Homeland security bureau/traffic,CRASH INVESTIGATIONS SECTION,DWI INVESTIGATIONS UNIT,In compliance,"N/A E I-465 Highway, Indianapolis, IN",Body weight leverage,Assaulting Officer(s),Arrest,Yes,Resisting Law Enforcement (M),Unreported,Yes,Yes,No,No,2269,Hispanic,Male,45,Minor bleeding,576,White,Male,50,28,Unreported
-86.14121,39.76861760000001,1795,6050,2014-12-14,21:06:00:000,Operations division,East district,ED MIDDLE SHIFT,UNREPORTED,In compliance,"117 N Herman Street, Indianapolis, IN",Handcuffing,Assaulting Officer(s),Arrest,Yes,Battery by Bodily Waste,Unreported,No,No,No,No,2271,White,Male,14,Unreported,3002,White,Male,27,4,Unreported
