zip,latitude,longitude,INCNUM
46225,39.7375695,-86.1593406,14806
46217,39.6866253,-86.2197207,12946
46229,39.788852,-86.08567529999999,13066
46204,39.7690145,-86.148941,28449
46226,39.8115311,-86.04521439999999,28450
46204,39.7643952,-86.15744699999999,13267
46201,39.7827385,-86.11668039999999,26921
46203,39.7463228,-86.1234329,13568
46201,39.776111,-86.0948257,28872
46241,39.754805,-86.2535353,28895
46201,39.7731166,-86.12522090000002,29038
46225,39.7632007,-86.1584407,28741
46221,39.7057726,-86.24817890000001,29063
46218,39.805878,-86.1179765,29119
46224,39.8008584,-86.2499247,29122
46241,39.7453194,-86.21507539999999,29144
46214,39.80982789999999,-86.2951508,28942
46218,39.7943521,-86.0880651,29065
46240,39.9194436,-86.1430829,14174
46229,39.7895922,-86.09550229999999,29145
46201,39.7667799,-86.12745799999999,29156
46218,39.8099712,-86.0841097,41716
46201,39.7813995,-86.10699579999999,14002
46203,39.74168239999999,-86.1391352,14020
46205,39.805587,-86.1451463,14084
46229,39.7747684,-85.9804968,14215
46218,39.8030298,-86.1219811,14220
46204,39.7673756,-86.15680449999999,14246
46268,39.9148653,-86.2183113,14261
46214,39.8213314,-86.2859367,29209
46222,39.7872432,-86.1886317,29248
46201,39.7683268,-86.09036800000001,36646
46234,39.7797576,-86.27590719999999,14037
46241,39.7507867,-86.25795889999999,14043
46250,39.8982001,-86.08313620000001,28539
46235,39.828352,-86.00810100000001,28679
46222,39.7725588,-86.2163063,28979
46235,39.8317516,-86.01011249999999,29083
46227,39.7298271,-86.1538405,14316
46226,39.8184387,-86.03955959999999,14325
46226,39.8180783,-86.1269416,15922
46268,39.9089759,-86.2197978,41963
46201,39.781157,-86.104427,14358
46202,39.7865034,-86.1553436,27348
46278,39.8241055,-86.23510429999999,14461
46229,39.7764509,-85.98966999999999,14470
46201,39.7773489,-86.1098808,42715
46225,39.7631034,-86.159083,23137
46220,39.8699179,-86.1430931,31561
46277,39.6697239,-86.1289599,29193
46225,39.763425,-86.157719,29195
46229,39.8023523,-86.0053329,29215
46222,39.78783,-86.215812,29253
46107,39.6960225,-86.0860127,29293
46218,39.7897804,-86.11831719999999,29323
46225,39.7638998,-86.1595572,29441
46227,39.6867002,-86.1522942,14417
46201,39.7634172,-86.122057,14448
46205,39.8130164,-86.14757159999999,14482
46225,39.7625906,-86.1600739,34523
46221,39.716665,-86.247422,14595
462058,39.8233564,-86.1117913,14502
46204,39.7642862,-86.1600108,34483
46208,39.827988,-86.163652,14531
46204,39.766392,-86.16078929999999,13580
46218,39.8087548,-86.096409,14625
46227,39.7025473,-86.1383862,13666
46227,39.6461688,-86.15886619999999,13703
46201,39.763479,-86.11480069999999,14719
46222,39.7944423,-86.20935759999999,14740
46260,39.92189219999999,-86.19443179999999,14631
46227,39.6936465,-86.1499853,13952
46204,39.7711429,-86.14977549999999,28485
46204,39.7737127,-86.15271419999999,18921
46226,39.822964,-86.041603,29584
46235,39.813492,-85.96586099999999,14744
46235,39.8332446,-85.99176360000001,29324
46226,39.8178346,-86.10236700000002,29468
46222,39.7737512,-86.2192443,29555
46203,39.7475795,-86.1256452,29833
46241,39.747883,-86.2424236,29609
46225,39.7631886,-86.1577274,38559
46235,39.833758,-86.009548,30015
46218,39.8056103,-86.094134,30016
46208,39.8086953,-86.1736063,30189
46201,39.7764765,-86.1011063,30178
46222,39.7858778,-86.20542619999999,30225
46240,39.9145498,-86.1389646,30281
46225,39.7634945,-86.1590213,30313
46225,39.7640344,-86.1587622,30314
46260,39.882272,-86.19636,14499
46201,39.7795668,-86.113323,14565
46254-2406,39.8271244,-86.2408938,14668
46204,39.7758512,-86.15773860000002,30388
