lon,lat,INCNUM
-86.272127,39.831065,40870
-86.26293749999999,39.7766094,41003
-86.089778,39.757145,41158
-86.277723,39.841408,41242
-86.06663379999999,39.78888,41317
-86.27395399999999,39.6991877,42754
-86.09614649999999,39.766829,41489
-86.1164517,39.8257736,38626
-86.0545138,39.9104235,38687
-86.12273119999999,39.8034097,41560
-86.13982630000001,39.7156665,41946
-86.1547076,39.7687229,41601
-86.27901639999999,39.8232601,41624
-86.0218888,39.8335071,41743
-86.10178479999999,39.7814044,41925
-86.06674050000001,39.8192317,41992
-86.1302083,39.66676959999999,42109
-86.12167339999999,39.7698628,41994
-86.2054659,39.7925881,41276
-85.984223,39.825679,41278
-86.113055,39.7046769,41514
-86.06821339999999,39.6718882,41656
-86.1438076,39.8196963,41731
-86.1470746,39.7766677,41786
-86.1285731,39.885231,41933
-86.2522857,39.6768145,40044
-86.19764400000001,39.884272,42248
-86.1294532,39.754261,42324
-86.14229399999999,39.8704828,42309
-86.1485919,39.7944533,42334
-86.19966749999999,39.8404249,42338
-86.25680190000001,39.848574,42418
-86.25364739999999,39.7648139,42446
-86.23248819999999,39.8135491,42484
-86.141369,39.8353744,42211
-86.2397,39.821607,42444
-86.1048733,39.8315736,42022
-86.122771,39.8678187,40542
-86.0988452,39.7575195,40570
-86.2231972,39.8115139,40716
-86.1736063,39.8086953,42459
-86.0639327,39.6888258,42649
-86.2673894,39.8571164,42672
-86.17297099999999,39.8082952,42831
-86.15849999999999,39.7658841,43107
-86.1295184,39.8136217,42498
-86.0920198,39.66439829999999,42504
-86.2420679,39.7581333,42609
-86.1152733,39.64945410000001,42697
-86.13734389999999,39.7038348,41818
-86.2742466,39.8192543,42916
-86.2611072,39.7692947,42668
-86.3210969,39.7373002,43099
-86.1099626,39.77853760000001,42625
-86.0833624,39.7899061,42905
-86.1568144,39.7786372,39566
-86.0948655,39.7894905,42585
-86.103123,39.7671272,42675
-86.2971948,39.9106768,42699
-86.20979439999999,39.766373,42798
